Row,Product ID,Name,Retailer,Product URL,Image URL,Description,Price,Category,Gender,Has Image,Has Description,Description Length
34,cmu5jm7oe00usksb0l17ad7kc,"Barbour Leather RFID Billfold Wallet in Brown","Farrar & Tanner",https://www.farrar-tanner.co.uk/colwell-leather-rfid-billfold-wallet-brown,,"Can be personalised using hot stamping, delivery time will increase.
Occasion: Any occasion
Source: M",50,"Home, Style & Objects > Fashion & accessories",MALE,No,Yes,101
35,cmu5c22k800gqksb092j0q3wq,"Barbour Leather RFID Billfold Wallet in Brown","Farrar & Tanner",https://www.farrar-tanner.co.uk/colwell-leather-rfid-billfold-wallet-brown,,"Can be personalised using hot stamping, delivery time will increase.
Occasion: Any occasion
Source: M",50,"Home, Style & Objects > Fashion & accessories",MALE,No,Yes,101
36,cmu5bzldq0025ksb0q3elv9g5,"Barwell Cut Crystal Champagne Coupe, Set of Four","Soho Home",https://www.sohohome.com/products/barwell-champagne-coupe-set-of-four/74531403?country=GB,,"Source: K",195,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
37,cmu5jkirg00jkksb0gblqllny,"Barwell Cut Crystal Champagne Coupe, Set of Four","Soho Home",https://www.sohohome.com/products/barwell-champagne-coupe-set-of-four/74531403?country=GB,,"Source: K",195,"Food & Drink > Wine, beer & drinks",UNISEX,No,No,9
38,cmu5c0tw6009aksb0usjb6q7n,"Baume & Mercier Classima","Ernest Jones",https://www.ernestjones.co.uk/baume-mercier-classima-mens-black-leather-strap-watch/p/V-6319084,,"Source: K",1250,"Home, Style & Objects > Watches",MALE,No,No,9
39,cmu5jlctb00oyksb0bkiiox05,"Baume & Mercier Classima","Ernest Jones",https://www.ernestjones.co.uk/baume-mercier-classima-mens-black-leather-strap-watch/p/V-6319084,,"Source: K",1250,"Home, Style & Objects > Watches",MALE,No,No,9
40,cmu5c0z9c00a9ksb0skvpuig4,"Baume & Mercier Hampton","Watches of Switzerland",https://www.watches-of-switzerland.co.uk/Baume-and.-Mercier-Hampton-28mm-X-17.75mm-Ladies-Watch-Cream-BMM0A10859/p/17710674,,"Source: K",1190,"Home, Style & Objects > Watches",FEMALE,No,No,9
41,cmu5jlgme00pqksb0iyq22fjb,"Baume & Mercier Hampton","Watches of Switzerland",https://www.watches-of-switzerland.co.uk/Baume-and.-Mercier-Hampton-28mm-X-17.75mm-Ladies-Watch-Cream-BMM0A10859/p/17710674,,"Source: K",1190,"Home, Style & Objects > Watches",FEMALE,No,No,9
42,cmu5c07zh005rksb00ic1c2ez,"Beautiful Raw Selenite Crystal Wand Stick","Luxe Co",https://theluxeco.co.uk/products/raw-selenite-crystal-wand-stick-to-clear-energy?srsltid=AfmBOooih5kDREx3OK9rAulUz9uZX9mNJUnoxn6Jx2iBs-K5NrmOwBwG,,"Source: K",15,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
43,cmu5jkx5z00m6ksb0ukbbqdj4,"Beautiful Raw Selenite Crystal Wand Stick","Luxe Co",https://theluxeco.co.uk/products/raw-selenite-crystal-wand-stick-to-clear-energy?srsltid=AfmBOooih5kDREx3OK9rAulUz9uZX9mNJUnoxn6Jx2iBs-K5NrmOwBwG,,"Source: K",15,"Lifestyle & Wellbeing > Spirituality",UNISEX,No,No,9
44,cmu5jlsxb00s0ksb0qbslhm7z,"Beauty Drop Subscription Box","Liberty",https://www.libertylondon.com/uk/beauty-subscription-box,,"Source: G",275,"Lifestyle & Wellbeing > Beauty & skincare",FEMALE,No,No,9
45,cmu5c1h0z00d7ksb05ata3sdp,"Beauty Drop Subscription Box","Liberty",https://www.libertylondon.com/uk/beauty-subscription-box,,"Source: G",275,"Lifestyle & Wellbeing > Beauty & skincare",FEMALE,No,No,9
