ID,Index,Name,Category,Retailer,Price,Current Gender,Current Age Bands,Age Restricted,Interest Tags
"cmu5jnrns012mksb0qhv0fjmx",598,"Wooden Shuffleboard & Puck 2 in 1 Game","Children","Crafts 4 Kids",26.5,"FEMALE","18+",false,""
"cmu5jnsaa012pksb0oj4477ku",599,"Great Pretenders The 5th Avenue Paillette Cape","Children","Daisy Daisy",32,"FEMALE","18+",false,""
"cmu5jnvfq012sksb0n5tnbr8f",600,"Liewood Dante Silicone Beach Set","Children","Alf & Co",39,"UNISEX","18+",false,""
"cmu5jnx16012uksb0ozjhokkp",601,"Vtech Kidi® Dj Drums","Children","hamleys.com",59.99,"UNISEX","18+",false,""
"cmu5jnyby012wksb0t41nf8vu",602,"Vtech Kidizoom Printcam","Children","hamleys.com",79.99,"UNISEX","18+",false,""
"cmu5jnyn0012yksb02vx4u592",603,"EUGY Whale Shark - Kids Cardboard Craft Kit","Children","Crafts 4 Kids",6.99,"UNISEX","18+",false,""
"cmu5jo52f0130ksb0cz92lhwd",604,"Janod Kawaii Create Your Own Origami Boxes","Children","Crafts 4 Kids",8.5,"FEMALE","18+",false,""
"cmu5jo5fs0132ksb015b13hk0",605,"Moulin Roty Giant Soap Bubbles Set","Children","Crafts 4 Kids",29.99,"FEMALE","18+",false,""
"cmu5jo5pg0134ksb061i7n3a5",606,"K-Pop Demon Hunters HUNTR/X Rumi","Children","Very.co.uk",29.99,"FEMALE","18+",false,""
"cmu5jo6iw0137ksb07zj8rkwi",607,"KIDYKARAOKE Portable Karaoke Speaker Green by Kidywolf","Children","Little Concepts",64.98,"FEMALE","18+",false,""
"cmu5jo6sy0139ksb08ueu9s1h",608,"Power Pony Electric Ride On Princess","Children","Smyths Toys",399.99,"FEMALE","18+",false,""
"cmu5jo731013bksb0dbch1pkh",609,"Aerobie Pro Ring","Children","Oddballs",12.99,"UNISEX","5-10; 11-17",false,""
"cmu5jo7mu013eksb0vwovwpcs",610,"Quad Roller Skates","Children","Oli's Skate Shop",39.95,"FEMALE","5-10; 11-17",false,""
